id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
4523,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2011.0,Sports,Puma Men's Faas Blue White Silver Red Shoe
7713,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Fila Men's Roller Black Silver Shoe
14650,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Probase Men Face Print Blue Tshirts
6634,Men,Footwear,Shoes,Sports Shoes,Brown,Summer,2011.0,Sports,Nike Men's Air Endurance Brown Shoe
9376,Unisex,Accessories,Socks,Socks,Black,Fall,2011.0,Casual,Puma Unisex FTPA Black Socks
23785,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Oakley Women Black Beckon Sunglasses
17931,Men,Apparel,Bottomwear,Tights,Black,Summer,2012.0,Sports,Nike Men Training Black Tights
56250,Men,Apparel,Loungewear and Nightwear,Night suits,Grey Melange,Summer,2016.0,Casual,SDL by Sweet Dreams Men Grey Melange Pyjama Set
44718,Men,Footwear,Flip Flops,Flip Flops,White,Summer,2012.0,Casual,Lotto Men White Flip Flop
35305,Women,Accessories,Jewellery,Earrings,Purple,Winter,2016.0,Ethnic,Fabindia Women Ananya Purple Earrings
28993,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Status Quo Men Striped White T-shirt
32163,Women,Accessories,Socks,Socks,Lavender,Summer,2017.0,Casual,Playboy Women Playmate Lavender Ankle Socks
16614,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Formal,Genesis Men Stripes Brown Trouser
49929,Women,Apparel,Saree,Sarees,Pink,Fall,2012.0,Ethnic,Fabindia Pink Sari Maheshwari Zari Saree
43504,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,French Connection Men Black Tshirt
31408,Men,Apparel,Innerwear,Innerwear Vests,Black,Summer,2016.0,Casual,Spykar Men Black Innerwear Vest
51734,Women,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Allen Solly Women Sunglasses AH218-C1
3942,Women,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Jealous 21 Women's Purple T-shirt
7764,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Inkfruit Men's Night Rider Black Yellow Orange T-shirt
23089,Men,Apparel,Bottomwear,Trousers,Beige,Fall,2011.0,Casual,Arrow Men Beige Trousers
7565,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Nike Men's Grey Polo T-Shirt
22905,Men,Apparel,Bottomwear,Trousers,Charcoal,Summer,2011.0,Formal,Mark Taylor Men Black Striped Trousers
44311,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Indian Terrain Men Navy Blue Check Shirt
44124,Women,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017.0,Casual,Hugo Women Deep Red Perfume
5883,Unisex,Footwear,Shoes,Casual Shoes,Orange,Summer,2011.0,Casual,Converse Unisex Speciality Ox Rust Shoe
20281,Women,Footwear,Shoes,Heels,Pink,Winter,2015.0,Casual,Catwalk Women Casual Pink Flats
10323,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Murcia Women Lambretta Green Black Handbags
17615,Boys,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Doodle Boys living Upto White Tshirt
47049,Women,Apparel,Bottomwear,Salwar,Purple,Fall,2012.0,Ethnic,Shree Women Red & Blue Jodhpuri Salwar
37052,Women,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Lino Perros Women Brown Belt
58214,Women,Apparel,Bottomwear,Patiala,Multi,Fall,2012.0,Ethnic,Shree Women Brown Printed Patiala
42330,Women,Apparel,Saree,Sarees,Multi,Summer,2012.0,Ethnic,Prafful Multicoloured Crepe Printed Saree
35910,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Peperone Women Brown Handbag
54482,Men,Apparel,Innerwear,Briefs,Olive,Summer,2016.0,Casual,Hanes Men Pack of Two Premium Bikini Briefs
13205,Women,Footwear,Shoes,Sports Shoes,Grey,Spring,2012.0,Sports,ASICS Women Gel 1160 Running Grey Sports Shoes
40017,Unisex,Accessories,Socks,Socks,White,Summer,2012.0,Casual,ADIDAS Unisex White Adicrew Socks
55047,Women,Personal Care,Lips,Lipstick,Red,Spring,2017.0,Casual,Lakme Enrich Satins 152
13732,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Belmonte Men Check Red Shirts
56858,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,United Colors of Benetton Men Black Flip Flops
41777,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Remanika Women Pink Top
55630,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Brown Sandals
43879,Men,Footwear,Shoes,Casual Shoes,Beige,Summer,2012.0,Casual,Puma Men Beige Terrae Mid Africa Shoes
57981,Women,Apparel,Topwear,Shirts,Red,Summer,2010.0,Casual,Latin Quarters Women Red Check Shirt
7489,Women,Apparel,Bottomwear,Capris,Black,Summer,2011.0,Sports,Nike Women As Be Strong Black Capri
24906,Boys,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,United Colors of Benetton Kids Boys Pink Printed T-shirt
13280,Women,Footwear,Shoes,Heels,Multi,Winter,2012.0,Casual,Inc 5 Women Casual Multi Flats
32575,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,ONLY Women Katie White Top
14615,Men,Accessories,Socks,Socks,Grey,Summer,2011.0,Casual,United Colors of Benetton Men Pack of 2 Grey Socks
59466,Women,Accessories,Jewellery,Ring,Silver,Summer,2015.0,Casual,Lucera Silver Ring
5202,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Marvel Men's Hulk Big Face Light Green T-shirt
37260,Unisex,Accessories,Bags,Waist Pouch,Olive,Summer,2012.0,Casual,Vital Gear Unisex Olive Waist Pouch
59097,Women,Apparel,Innerwear,Bra,Lavender,Summer,2017.0,Casual,Peri Peri Women Lavender Bra
16631,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2016.0,Casual,Facit Men Smart  Charcoal Tshirt
27757,Men,Accessories,Wallets,Wallets,Brown,Winter,2015.0,Casual,Bulchee Men Brown Wallet
15899,Unisex,Footwear,Shoes,Casual Shoes,Orange,Winter,2012.0,Casual,Warner Bros Kids Unisex TJ Happy Canvas Orange Casual Shoes
58179,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Rocky S Women Blue Handbag
37051,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Lino Perros Women Black Belt
53159,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Mark Taylor Men White Striped Shirt
51594,Women,Apparel,Bottomwear,Jeggings,Blue,Summer,2012.0,Casual,Wrangler Women Blue Jeggings
26561,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Lee Cooper Men Black Shoes
17639,Women,Accessories,Scarves,Scarves,Black,Fall,2011.0,Casual,Puma Women Darsey Black Scarf
56512,Women,Personal Care,Lips,Lipstick,Mauve,Spring,2017.0,Casual,Streetwear Lusicious Lips Classy Mauve Lipcolor 17
13655,Men,Footwear,Sandal,Sandals,Red,Fall,2011.0,Casual,ADIDAS Red WhirItech Slide M Sandal
6840,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Brown,Summer,2011.0,,Timberland Unisex Dry Cleaning Shoe Kit
42290,Girls,Apparel,Bottomwear,Skirts,Pink,Summer,2012.0,Casual,Gini and Jony Girls Pink Skirt
27521,Women,Footwear,Shoes,Heels,White,Winter,2015.0,Casual,Catwalk Women White Heels
53040,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari
57967,Women,Apparel,Saree,Sarees,Green,Fall,2012.0,Ethnic,Prafful Green Printed Sari
7770,Unisex,Accessories,Socks,Socks,Beige,Summer,2011.0,Sports,Nike Unisex Beige Socks
46251,Women,Apparel,Topwear,Tunics,Mustard,Summer,2012.0,Casual,Fusion Beats Women Mustard Printed Tunic
27107,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Aneri Women Khajana Black Kurta
28386,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Idee Men Black Sunglasses
26648,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Puma Men Racer Black Shoes
13390,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Check Blue Shirts
55080,Women,Personal Care,Makeup,Compact,Skin,Spring,2017.0,Casual,Lakme Pearl Nine to Five Flawless Creme Compact
48130,Women,Accessories,Bags,Handbags,Black,Winter,2016.0,Casual,Fossil Women Black Handbag
11680,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Lee Men Check Red Shirts
57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Elle Women Dark Pink Top
11375,Women,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,United Colors Of Benetton Women Winter White Shirt
7132,Women,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Urban Yoga Women's Green T-shirt
34799,Men,Accessories,Belts,Belts,Beige,Summer,2012.0,Casual,Flying Machine Men Woven Beige Belt
18524,Women,Apparel,Topwear,Jackets,Black,Fall,2011.0,Casual,C Vox Women Solid 1351 Black Jacket
14865,Women,Accessories,Wallets,Wallets,Black,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Wallets
32372,Unisex,Accessories,Watches,Watches,Red,Winter,2016.0,Casual,Q&Q Unisex White Dial Watch
34915,Women,Apparel,Topwear,Dupatta,Cream,Summer,2012.0,Ethnic,Fabindia Women Cream Dupatta
15544,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Casual Black Heels
27106,Women,Apparel,Topwear,Kurtas,Yellow,Summer,2012.0,Ethnic,Aneri Women Shruti Yellow Kurta
25220,Women,Accessories,Bags,Handbags,Purple,Winter,2015.0,Casual,Lino Perros Women Leatherette Purple Handbag
16961,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Image Men Sunglasses
59679,Women,Apparel,Innerwear,Briefs,Khaki,Summer,2014.0,Casual,Avirate Black & Khaki Brief
58194,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Puma Women Black Handbag
9685,Men,Apparel,Bottomwear,Shorts,White,Fall,2011.0,Casual,ADIDAS Men Cress 3s3 4 Pan White Capris
54955,Men,Apparel,Topwear,Tshirts,Blue,Summer,2015.0,Casual,Do U Speak Green Men Blue T-Shirt
40756,Women,Footwear,Flip Flops,Flip Flops,Multi,Winter,2012.0,Casual,Roxy Women Multi Coloured Flip Flops
11659,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Lee Women Printed White Tshirts
26881,Women,Apparel,Topwear,Tshirts,Peach,Summer,2012.0,Casual,Jealous 21 Women Pink T-shirt
42844,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,French Connection Women Black Handbag
46841,Girls,Footwear,Shoes,Casual Shoes,Pink,Winter,2012.0,Casual,Barbie Girls Pink Shoes
38551,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Puma Men Black Sandals
45133,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Casio Enticer Men Silver Analogue Watches (A358) MTP-1235D-7ADF
38028,Women,Accessories,Watches,Watches,Lavender,Winter,2016.0,Casual,Q&Q Attractive Women Lavender Dial Watch
13811,Men,Accessories,Mufflers,Mufflers,Maroon,Summer,2016.0,Casual,Proline Maroon Checked Muffler
40697,Men,Footwear,Flip Flops,Flip Flops,Grey,Summer,2012.0,Casual,Numero Uno Men Grey Flip Flop
38938,Boys,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Blue Shorts
36129,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,OTLS Men Laurel Black Wallet
59694,Women,Apparel,Innerwear,Briefs,Black,Summer,2014.0,Casual,Avirate Black Brief
33661,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,Lotto Men Caesar Slide Black Flip Flops
5947,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Locomotive Men Black Checked Shirt
40134,Boys,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Check Black Shirt
30612,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Sports,Nike Boys Printed Red T-shirt
55295,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017.0,Casual,Lakme Absolute Berryshine Plump & Shine Lip Gloss
11576,Women,Apparel,Topwear,Kurtis,Cream,Summer,2011.0,Ethnic,W Women Printed Cream Kurtis
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012.0,Casual,Peter England Unisex Orange Sleeve Bag
30785,Men,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Fabindia Men Printed Blue Kurta
43205,Men,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Fastrack Men Grey Dial Watch
48657,Women,Accessories,Jewellery,Earrings,Silver,Summer,2012.0,Casual,Lucera Women Silver Earrings
46215,Men,Footwear,Shoes,Sports Shoes,Orange,Summer,2012.0,Sports,ADIDAS Men Orange Sports Shoes
41756,Girls,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Doodle Girls Pink Top
18048,Women,Accessories,Wallets,Wallets,Grey,Winter,2015.0,Casual,Lino Perros Women Sequin Grey Wallet
8625,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Fastrack Unisex Sunglasses
30013,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Kenneth Cole Men Black Dial Chronograph Watch
53776,Men,Apparel,Bottomwear,Shorts,Green,Summer,2012.0,Casual,Puma Men Green Shorts
43516,Women,Apparel,Topwear,Tops,Orange,Summer,2012.0,Casual,French Connection Women Orange Top
24337,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,ADIDAS Men Red T-shirt
21316,Women,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Celine Dion Women Brown Frame Sunglasses
36875,Men,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Casual,Spykar Men Cult Orange T-shirt
52111,Women,Apparel,Topwear,Kurtis,White,Summer,2012.0,Ethnic,Myntra Women White Printed Kurti
36564,Women,Personal Care,Fragrance,Deodorant,Purple,Spring,2017.0,Casual,United Colors of Benetton Women Deo
34630,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Lotto Men White Basketball Mid II Sports Shoes
18809,Men,Accessories,Belts,Belts,Olive,Summer,2011.0,Casual,Peter England Men Casual Olive Belt
51044,Women,Apparel,Loungewear and Nightwear,Baby Dolls,Navy Blue,Summer,2017.0,,Enamor Women Navy Blue Baby Doll Nightdress
57321,Women,Apparel,Innerwear,Bra,Blue,Winter,2015.0,Casual,Amante Women Blue Full-Coverage Lace Bra BCFR11
51681,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Louis Philippe Men Aviator Sunglasses LP208-C2
5343,Women,Footwear,Shoes,Casual Shoes,Blue,Winter,2015.0,Casual,Skechers Women Blue Teal Shoe
51031,Women,Apparel,Innerwear,Bra,White,Summer,2017.0,Casual,Enamor White Bra
29309,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Wrangler Men Bull Rider Grey T-shirt
7796,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Proline Men Grey Polo T-shirt
17073,Women,Accessories,Belts,Belts,Brown,Winter,2015.0,Casual,Lino Perros Women Weaved  Brown Belt
36227,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Nike Men Air Ralston Mid Lite Brown Shoes
23776,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Oakley Men Black Ducati Sunglasses
24473,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,ADIDAS Men White Falcon Lea Sports Shoes
28948,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,BIBA Women Ethnic White Kurta
4682,Men,Accessories,Bags,Backpacks,Black,Summer,2011.0,Sports,ADIDAS Men Lfc Black Red Backpack
11637,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Puma Men Slim Pedal Rose Gold Black Watches
44429,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Gliders Men Black Formal Shoes
52916,Women,Apparel,Saree,Sarees,Black,Summer,2012.0,Ethnic,FNF Printed Black Sari
44382,Men,Personal Care,Fragrance,Deodorant,Green,Spring,2017.0,Casual,ADIDAS Men Pure Game Deo
18674,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Fila Men Sterling White Sports shoes
13461,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Check Black Shirts
55230,Women,Personal Care,Makeup,Foundation and Primer,Skin,Spring,2017.0,Casual,Lakme Perfect Radiance Intense Whitening Golden Medium Foundation 03
28890,Women,Apparel,Innerwear,Briefs,Pink,Summer,2012.0,Casual,Enamor Women Dark Pink Regular-Rise Bikini Brief
18521,Women,Apparel,Topwear,Sweatshirts,Black,Summer,2015.0,Casual,C Vox Women Solid 1355 Black Sweatshirt
38529,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Puma Men Black Sports Shoes
42396,Women,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Flying Machine Women Grey T-shirt
4526,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,Puma Men's Tergament Black Beige Silver Shoe
6808,Women,Footwear,Shoes,Casual Shoes,Yellow,Summer,2011.0,Casual,Timberland Women's Prem Wheat Yellow Shoe
40311,Unisex,Footwear,Sandal,Sandals,Pink,Winter,2013.0,Casual,Warner Bros Kids Unisex Pink Sandals
38456,Women,Accessories,Bags,Handbags,Orange,Summer,2015.0,Casual,Baggit Women Orange Tinki Tower Sling Bag
29154,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Top
36260,Men,Apparel,Loungewear and Nightwear,Night suits,Grey,Summer,2016.0,Casual,SDL by Sweet Dreams Men Grey & Black Pyjama Set
30308,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Myntra Men Royal Off White T-shirt
14932,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011.0,Casual,Status Quo Men Check Black Shorts
34574,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Tonga Women Printed Black Top
18312,Men,Apparel,Topwear,Sweaters,Grey,Summer,2011.0,Casual,Wills Sport Men Grey Striped Sweater
21743,Unisex,Footwear,Shoes,Casual Shoes,Black,Spring,2012.0,Casual,Vans Unisex Classic Slip-On Black Casual Shoes
37556,Girls,Accessories,Gloves,Gloves,Green,Summer,2012.0,Casual,Madagascar 3 Infant Girls Light Green Mittens
21167,Women,Apparel,Topwear,Tops,Black,Fall,2011.0,Casual,s.Oliver Women Solid Black Top
33215,Women,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,Sepia Women Off White Top
47534,Women,Footwear,Shoes,Flats,Turquoise Blue,Winter,2012.0,Ethnic,Portia Women Turquoise Blue & Gold Flats
9789,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Sports,Puma Women Opulence Logo Plus Purple T-Shirts
25984,Women,Personal Care,Fragrance,Deodorant,Purple,Spring,2017.0,Casual,J.Del Pozo Halloween Women Deo
29020,Men,Apparel,Bottomwear,Track Pants,Grey,Summer,2013.0,Sports,ADIDAS Men Grey Track Pants
32425,Men,Apparel,Topwear,Tshirts,White,Fall,2012.0,Sports,ADIDAS Men White Polo T-shirt
20945,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011.0,Casual,ADIDAS Men Plugged In Blue Flip Flops
